id,hough1,hough2,hough3,hough4,hough5,hough6,hough7,hough8,
1,1,0,82,0,68,0,595,0,
2,64,0,451,0,0,0,0,0,
3,109,0,314,0,11,0,155,0,
4,0,0,63,0,9,0,405,0,
5,9,0,321,0,0,0,57,0,
6,16,0,85,7,54,6,301,21,
7,4,0,176,0,12,0,405,0,
8,22,0,81,0,110,0,342,0,
9,106,0,98,0,126,0,133,0,
10,0,0,4,0,0,0,370,0,
11,39,0,131,0,79,0,264,0,
12,63,0,329,0,9,0,181,0,
13,57,0,173,0,95,0,290,0,
14,0,0,127,0,9,0,509,0,
15,10,0,169,0,17,0,236,0,
16,27,0,71,0,98,0,287,0,
17,5,0,335,0,1,0,225,0,
18,65,0,197,0,38,0,143,0,
19,1,0,180,0,8,0,304,0,
20,121,0,269,0,16,0,112,0,
21,37,0,436,0,1,0,104,0,
22,52,0,389,0,16,0,229,0,
23,0,0,10,0,52,0,473,2,
24,10,0,172,0,30,0,484,0,
25,0,0,547,0,0,0,133,0,
26,0,0,202,0,0,0,339,0,
27,2,0,20,0,118,0,345,0,
28,17,0,90,0,134,0,263,0,
29,92,0,184,0,61,0,200,0,
30,148,0,117,0,125,0,115,0,
31,0,0,437,0,0,0,4,0,
32,0,0,433,0,0,0,3,0,
33,6,0,346,0,0,0,173,0,
34,162,0,455,0,13,0,132,0,
35,19,0,63,0,141,0,291,0,
36,18,0,110,0,84,0,315,0,
37,49,0,411,0,15,0,241,0,
38,45,0,103,0,125,0,217,0,
39,5,0,20,0,150,0,431,5,
40,0,0,355,0,0,0,0,0,
41,39,0,112,9,68,3,181,6,
42,0,0,0,0,10,0,516,0,
43,76,0,357,0,0,0,0,0,
44,0,0,44,0,52,0,326,0,
45,27,0,257,0,25,0,333,0,
46,4,0,167,0,42,0,479,0,
47,7,0,177,0,19,0,294,0,
48,16,0,216,0,11,0,155,0,
49,78,0,415,0,0,0,0,0,
50,3,0,147,0,24,0,401,0,
51,40,0,539,0,0,0,84,0,
52,2,0,80,0,43,0,385,0,
53,13,0,66,0,95,0,339,0,
54,2,0,55,0,74,0,394,0,
55,80,0,194,0,24,0,83,0,
56,26,5,122,58,14,13,155,44,
57,148,0,316,0,0,0,31,0,
58,20,0,158,0,57,0,385,0,
59,64,0,272,0,16,0,123,0,
60,0,0,296,0,0,0,399,0,
61,0,0,87,0,0,0,263,0,
62,50,0,514,0,0,0,118,0,
63,0,0,3,0,67,0,363,8,
64,15,0,236,8,20,0,301,9,
65,106,0,300,0,38,0,190,0,
66,96,0,270,0,11,0,157,0,
67,43,0,182,0,89,0,326,0,
68,83,7,334,56,0,0,103,0,
69,3,0,37,0,71,0,318,0,
70,0,0,420,0,0,0,53,0,
71,30,0,69,0,104,0,238,0,
72,16,0,134,2,58,2,316,7,
73,107,2,252,11,18,0,97,0,
74,31,0,41,0,162,0,150,0,
75,90,0,19,0,235,0,134,0,
76,0,0,32,0,4,0,488,0,
77,39,0,372,0,0,0,28,0,
78,12,0,82,0,55,0,261,0,
79,244,4,241,2,50,0,125,0,
80,0,0,0,0,99,0,530,6,
81,0,0,479,0,0,0,229,0,
82,0,0,121,0,18,0,494,0,
83,25,0,450,0,0,0,86,0,
84,20,0,98,0,134,0,382,0,
85,9,0,138,0,67,0,449,0,
86,97,0,336,0,14,0,240,0,
87,79,0,287,0,34,0,253,0,
