id,spharm1,spharm2,spharm3,spharm4,spharm5,spharm6,spharm7,spharm8,
1,-3.164135918705866E8,-242647.26112422068,120228.86522188243,441092.93842605286,2.106433302094846E7,-7509872.094907303,245855.62114164056,-1165122.4041963895,
2,504042.25526782736,130191.69001653121,7397.163621748741,-996533.0112061393,7960039.012270978,-7135.647780019441,-4512.06476176321,251990.1033916651,
3,8617385.965962738,9.448147292907994E8,6.034198892208017E7,7577745.783012976,5.658519578709725E8,-4.041555036424201E7,2481174.260815159,-9088832.556700308,
4,1169186.6446490963,-2221.119841834856,70300.26473470844,-39606.755635387584,5.55571826783987E8,2989.9712091306337,127549.10242781989,196602.0038053583,
5,-3.091022615416846E7,4357.671827763745,7638.707952438856,-11674.52639239728,-2.5423555153416354E7,-2797.960067138199,4725.279961741538,-17796.760006970875,
6,-106167.3870478741,-2099.820147819071,-22700.439419343482,35147.77093834041,2.716964148921118E8,2430.513033949919,5927.43823967304,161367.05516135256,
7,-7.539708244936538E7,9050.848288345893,-75974.68554018033,-2440.8543592175074,2.6671160216522804E8,-53656.43953207116,-130012.81217210954,655713.1287300588,
8,-9.073804017282332E7,-1.6747456679498386E7,4020.275701019562,-186178.33881263336,-6.480922976753482E8,1.3366888477274336E7,-81405.26261491513,1.9845737404922564E7,
9,-7.363750940719695E7,-3482661.9635267346,-1.919665822269464E9,-1.2380215153324346E8,2.3104063634033155E8,-97712.98300629508,2.394449684838988E7,-6.139526853056007E7,
10,6.113008149203851E7,25014.557288726843,-19024.378470119755,758990.114893167,1.8200775197007306E7,321731.33501195506,-179603.97006631375,-36231.45989007676,
11,8.394245213663447E7,-263789.2696461126,3108.586643347889,780845.897798651,-2.256884615938344E9,6495620.428299934,-30101.650827218302,4001009.2175001004,
12,-9.369189937752391E7,-1272350.8288284275,-1272461.5829686385,-758793.1444036968,-5120424.731460427,1834823.081325808,5212804.7456903,6213237.880373512,
13,1.6604052594171649E7,-429593.0894609948,-4270.6508290345855,-204171.97007938472,-1.811895988186752E8,-14051.795970116185,5931.516799028992,-1615134.1429929002,
14,-1.7555034760145143E8,-25261.144531847163,220617.17107106457,-700229.5792530983,1.8991752975828433E9,-753836.9768588169,-164274.14280218078,-131641.87790056973,
15,-2.495827112342205E7,48146.35573268113,794.6289190499506,-374171.6421956406,7.09035605013261E8,-238617.87817414122,9373.027179332415,-1675462.616901217,
16,-7.404653148888394E7,-1.2128570485120922E8,-545540.4275379268,-1.9644758701154795E7,1.481735312630976E8,-5.760315143405044E7,3.6019835559419304E7,9.868039327954502E7,
17,-2.3394614717025504E9,3221634.032166805,-308427.7710330976,-2607117.8045497034,4.1146195004387125E7,897292.9271961215,167645.42256581018,-2617274.8522221674,
